 id x y
177 177 131.9063426 43.1264287
178 178 131.9193611 43.1248787
179 179 131.9121916 43.1216222
180 180 131.9120616 43.1196455
181 181 131.9139812 43.1187415
182 182 131.9257119 43.1223962
183 183 131.9255787 43.1228539
184 184 131.9250707 43.1229907
185 185 131.9254338 43.1224404
186 186 131.9227315 43.1232303
187 187 131.9253241 43.1185985
188 188 131.9322418 43.1194777
189 189 131.9272375 43.1222452
190 190 131.9297254 43.1202659
191 191 131.9263474 43.1240336
192 192 131.9292729 43.1297452
193 193 131.9409855 43.127656
194 194 131.93927 43.1283388
195 195 131.9439522 43.1289522
196 196 131.9432312 43.1297277
197 197 131.9478351 43.1342685
198 198 131.9485601 43.1401962
199 199 131.9530357 43.1456383
200 200 131.9533667 43.1468687
201 201 131.9529945 43.1498285
202 202 131.9539074 43.1504687
203 203 131.9544306 43.1508228
204 204 131.9545387 43.151086
205 205 131.9508361 43.1543712
206 206 131.9453398 43.1594227
207 207 131.9426199 43.1622042
208 208 131.87492 43.1130219
209 209 132.0034764 43.2226706
210 210 132.0046807 43.2212762
211 211 132.0105052 43.2168228
212 212 132.0151842 43.2148826
213 213 132.018836 43.2141584
214 214 132.0190019 43.2141385
215 215 132.0223519 43.2138899
216 216 132.0259443 43.2136647
217 217 132.0339006 43.2136008
218 218 132.0361266 43.214106
219 219 132.0674336 43.2147673
220 220 132.0854709 43.2110587
221 221 132.1001377 43.2020176
222 222 132.1515222 43.2080761
223 223 132.1477713 43.207887
224 224 132.1316998 43.1986215
225 225 132.1274099 43.1977949
226 226 132.1152778 43.1962184
227 227 132.1117731 43.1950821
228 228 132.1104895 43.1954508
229 229 132.1088217 43.1965745
230 230 132.0490057 43.1577484
231 231 132.0482231 43.1564686
232 232 132.0567242 43.1495333
233 233 132.1963873 43.2228026
234 234 132.1990558 43.2242675
235 235 132.2003582 43.2270457
236 236 132.1884677 43.2396161
237 237 132.1766639 43.2454678
238 238 132.1798766 43.2539255
239 239 132.2043576 43.2677622
240 240 132.0360271 43.1330974
