x,y
1,31717562.297168225
2,16450043.56160708
3,13425636.887212908
4,4966036.802314077
5,1963774.4597474264
6,618741.0764109865
7,196602.58237269332
8,119390.01517230272
9,84571.98301453888
10,64351.67638146132
11,45636.40811979212
12,35779.199435835704
13,28696.945200653743
14,24231.887880444527
15,20385.273639803752
16,17097.665839275345
17,14912.3947211653
18,13965.92599696666
19,12460.28477312438
20,11292.712778948247
21,10048.688265921548
22,9080.63705464825
23,8144.4925413019955
24,7578.758847272023
25,6860.67618179135
26,6311.075692819432
27,5998.216301139444
28,5448.695103501901
29,5011.97353024222
30,4747.9123667571685
31,4440.613764438777
32,3936.8532889559865
33,3630.9392486512656
34,3528.2770237717777
35,3414.523181628436
36,3311.230741450563
37,3076.4473385736346
38,2915.193267887458
39,2788.63209371455
40,2673.5408071279526
41,2475.931338842958
42,2382.658631524071
43,2324.6383870355785
44,2268.9571638014168
45,2166.261367632076
46,2093.027805298567
47,2030.7745807357128
48,1973.5300554931164
49,1893.9986937474457
50,1831.5467647779728
51,1766.2601766362786
52,1728.9053872618824
53,1703.1584729142487
54,1650.173522081226
55,1584.0529819522053
56,1546.2377484627068
57,1518.0243297126144
58,1482.3126639910042
59,1435.2998729106039
60,1404.7979813702404
61,1381.1049864348024
62,1357.5406474191695
63,1326.78599280864
64,1303.6104601211844
65,1276.1162421144545
66,1256.9010909609497
67,1232.7302877102047
68,1209.118143133819
69,1178.2976034730673
70,1160.8341837786138
71,1138.068448640406
72,1116.5402260273695
73,1087.6755640394983
74,1075.2253171168268
75,1053.8822988998145
76,1041.8755528461188
77,1033.2728562764823
78,1021.0678361374884
79,1006.7691403534265
80,994.9770685341208
81,979.4267609920352
82,969.234201433137
83,953.8729255944489
84,941.5334060695022
85,928.0426809228957
86,915.0761724766346
87,902.4306048303841
88,893.3641864899547
89,881.1340845897794
90,870.0881658941507
91,858.0779057834297
92,851.3590125031769
93,842.5605897512288
94,833.6690348796545
95,822.2336248345673
96,814.0172200184315
97,806.2454676683992
98,797.6674412563443
99,788.578696295619
100,782.6205948349088
101,775.2673122417181
102,766.9595097731799
103,758.82081438601
104,752.4397188853472
105,745.508468305692
106,739.0027921535074
107,730.470694951713
108,723.7529142573475
109,715.9592551551759
110,709.6343287806958
111,703.567057017237
112,694.9571797810495
113,688.2164696119726
114,682.3851120658219
115,676.0873518586159
116,669.1755346953869
117,662.9909001570195
118,655.7668526861817
119,650.6174856647849
120,645.0080938115716
121,640.4546068701893
122,635.4647571519017
123,631.493561482057
124,626.8940155301243
125,619.4738725107163
126,614.0275708287953
127,609.3170245792717
128,604.8741877004504
129,600.3487357161939
130,596.0192730911076
131,590.8084013797343
132,587.12263026461
133,584.4903941713274
134,581.7809239886701
135,578.4768859446049
136,571.9079551547766
137,568.6675658915192
138,565.2726500276476
139,562.5062525924295
140,557.4189478121698
141,553.9091850444673
142,551.0379529651254
143,547.8761357534677
144,543.463192878291
145,539.2262404132633
146,535.6187800168991
147,533.0819887667894
148,529.781366083771
149,525.8957586325705
150,522.8193945605308
151,520.3196259308606
152,515.9244830049574
153,511.59313269332046
154,508.00263907946646
155,505.6400540862232
156,503.2163191903383
157,499.8014121185988
158,496.5937137790024
159,494.4373178873211
160,491.81700845994055
161,489.14548941515386
162,485.2855114657432
163,482.28504583425814
164,479.46795181185007
165,477.16541672497993
166,474.8364004343748
167,472.64197640679777
168,470.36210235208273
169,467.4677805732936
170,464.59184592589736
171,462.0965989176184
172,460.2020068336278
173,456.6302610486746
174,454.2958001811057
