x,y
1,49989.644341880456
11,722.8583767442032
21,197.74216620787047
31,91.16308919666336
41,55.28772963536903
51,37.4012010958977
61,27.377422275254503
71,21.165076901204884
81,16.92947332491167
91,14.075490567833183
101,11.984289653366432
111,10.34267274593003
121,9.103702706517652
131,8.257060952018946
141,7.349605184048414
151,6.685474675614387
161,6.10402413085103
171,5.5282443694304675
181,5.09391981898807
191,4.819114697165787
201,4.491789411753416
211,4.207008715718985
221,3.94531510793604
231,3.7199835565406825
241,3.479162850184366
251,3.314926373073831
261,3.1640003982465714
271,3.0360177867114544
281,2.9014227599836886
291,2.765096287475899
301,2.641012420412153
311,2.537472252035513
321,2.426613617688417
331,2.3316429334226996
341,2.252672422444448
351,2.164280313067138
361,2.092951342696324
371,2.0129799153655767
381,1.9522201572544873
391,1.8897887917701155
401,1.8182816267944872
411,1.7534993197768927
421,1.7143090148456395
431,1.67020518402569
441,1.6532203922979531
451,1.606792880455032
461,1.5648133317008615
471,1.5351757695898411
481,1.4877757565118372
491,1.4582515424117444
501,1.4191705046687275
511,1.3886759562883526
521,1.3659003905486315
531,1.3405743055045605
541,1.3158166352659464
551,1.287854032125324
561,1.2613817795645443
571,1.236295817187056
581,1.2114916988648474
591,1.1880293283611536
601,1.1691157196182755
611,1.1460879417136312
621,1.1214871087577192
631,1.0983062332961708
641,1.0805468710605055
651,1.0611092480830848
661,1.0431260808836669
671,1.0236483635380864
681,1.0063029397279024
691,1.0037431973032651
701,0.9887627095449715
711,0.9715483167674392
721,0.9549792280886321
731,0.9392729764804243
741,0.9260131451301277
751,0.9130416212137789
761,0.8977646247949451
771,0.886060836724937
781,0.8718990432098509
791,0.8600920154713094
801,0.847117671975866
811,0.837518990971148
821,0.8247023094445467
831,0.8121010984759778
841,0.7991212818305939
851,0.7875783271156251
861,0.7757878836710006
871,0.7661463967524467
881,0.7618520730175078
891,0.7534550428390504
901,0.7433502802159637
911,0.7343456335365772
921,0.7252064854837954
931,0.7163318991661072
941,0.7070044237188995
951,0.6982367280870676
961,0.6896615994628519
971,0.6821267295163125
981,0.6742177130654454
991,0.6671151893679053
1001,0.6616262383759022
1011,0.6527351313270628
1021,0.6464093758258969
1031,0.6396919873077422
1041,0.6329055386595428
1051,0.6266926520038396
1061,0.6218853190075606
1071,0.6151441317051649
1081,0.6088277285452932
1091,0.6017831868957728
1101,0.5973883080296217
1111,0.591316687874496
1121,0.5856389671098441
1131,0.5811922315042466
1141,0.5743560274131596
1151,0.5693980110809207
1161,0.563642960973084
1171,0.5597618431784213
1181,0.5552442141342908
1191,0.5499687134288251
1201,0.5439969929866493
1211,0.5390502361115068
1221,0.5338348371442407
1231,0.5302580546122044
1241,0.525116931879893
1251,0.5203624367713928
1261,0.5159491288941354
1271,0.513125988887623
1281,0.5099622015841305
1291,0.5053493306040764
1301,0.5006054849363863
1311,0.4961408451199532
1321,0.4920928785577416
1331,0.48929734318517143
1341,0.48530960595235223
1351,0.4813285872805864
1361,0.47715063975192606
1371,0.474698081612587
1381,0.47178138699382544
1391,0.46804843889549375
1401,0.4643326005898416
1411,0.4604522865265608
1421,0.45714778685942287
1431,0.45437687751837075
1441,0.45120832626707846
1451,0.4478020463138818
