x,y
1,31717562.297148217
2,17365252.214895815
3,14140332.83594054
4,5985149.350893684
5,4756839.873090718
6,2632160.574350921
7,2239341.730977144
8,796973.9006526003
9,666648.4824990053
10,519690.92529974505
11,436735.5670760926
12,368021.1303156093
13,310713.0730356797
14,254916.27013462968
15,216683.07609654404
16,174396.70296584629
17,147668.68945450895
18,132017.61860336736
19,110874.61972190812
20,100308.13672850652
21,89195.20009205677
22,76491.75508021936
23,68824.44083740562
24,62818.46478462033
25,56770.371151704334
26,50430.883910633616
27,46660.3709758427
28,42086.453842127696
29,39443.11860291287
30,36762.722169477485
31,34106.99622231908
32,31782.53051693365
33,29685.666150765494
34,28493.469916783277
35,26641.656094700094
36,24924.613100409508
37,23619.97329371236
38,22262.456091955304
39,20923.322705758732
40,19855.82660448924
41,19281.076336285096
42,18161.895664218813
43,17345.487087169662
44,16391.564506830648
45,15785.836077291518
46,14820.62965153344
47,14286.373007094488
48,13647.584325501695
49,12986.525819189847
50,12562.359217491
51,11964.717381557448
52,11530.910545324907
53,10999.725952088833
54,10738.642362007871
55,10317.801968703046
56,9936.45826445706
57,9659.73201456666
58,9303.185942443088
59,8990.753515837714
60,8769.779830634596
61,8526.662129823118
62,8124.21103221178
63,7921.525828709827
64,7606.890950476751
65,7398.600577218457
66,7184.4414346553385
67,6996.68413249217
68,6768.567286465317
69,6566.294838100672
70,6426.833530820905
71,6220.739685615525
72,6016.274691993371
73,5910.389035360888
74,5713.935689616948
75,5574.13549703732
76,5447.893561858684
77,5316.577551146969
78,5210.751761838794
79,5095.31965319626
80,5003.260963683948
81,4873.1587126944205
82,4798.391931461169
83,4677.165962677449
84,4583.750488813967
85,4498.885749295354
86,4412.360442638397
87,4332.4518545717
88,4218.07100921683
89,4132.639162007719
90,4052.379043174908
91,3978.942698350176
92,3895.19229016453
93,3830.6248894408345
94,3759.2628819737583
95,3669.4095477443193
96,3610.107907366008
97,3532.5596455298364
98,3485.421541288495
99,3435.283218802884
100,3395.011452531442
101,3343.3150087594986
102,3295.5097797438502
103,3263.4967767484486
104,3221.5524971541017
105,3175.838473943993
106,3152.750873185694
107,3110.523721154779
108,3070.2429357189685
109,3035.4147656857967
110,3004.9509985670447
111,2971.281018655747
112,2925.710080429912
113,2904.8023731186986
114,2869.1870987545694
115,2838.600196933374
116,2818.975231029093
117,2784.1345188301057
118,2749.3731189742684
119,2729.00687244162
120,2703.166090009734
121,2671.5708513036366
122,2648.8637275509536
123,2622.4574585612863
124,2586.02937246114
125,2566.7038365099575
126,2534.222128530964
127,2507.837039913982
128,2496.6120274439454
129,2469.3375251274556
130,2445.2780396714807
131,2426.9677930064495
132,2404.3655530549586
133,2382.463525157422
134,2359.6440763752908
135,2343.161415288225
136,2319.117887521162
137,2296.173348069191
138,2281.715868834406
139,2261.2594395224005
140,2240.983225705102
141,2222.8827007208015
142,2208.580952867865
143,2182.725270083174
144,2166.6975745726377
145,2149.485513333231
146,2127.7119706366207
147,2112.17412269488
148,2098.1125996671617
149,2083.8415242973715
150,2065.150710877031
151,2051.930823814124
152,2035.3393398951737
153,2020.8025806043297
154,2001.9531501568852
155,1988.1651736646888
156,1972.883968040347
157,1956.852636354044
158,1945.5382856819776
159,1926.4490750599648
160,1908.4794650264084
161,1897.6605513356624
162,1885.8795766215767
163,1868.9041010998187
164,1858.6066453065723
165,1845.85315602459
166,1833.724361939356
167,1824.3552662655711
168,1815.6856276988983
169,1802.8015609104184
170,1789.162009751424
171,1779.1886267587543
172,1764.7219621129332
173,1754.7827461045235
174,1743.50176763162
175,1733.6320965737104
176,1720.216888383031
177,1708.7510851733387
178,1699.239573298022
179,1688.789904600009
180,1677.2777810245752
181,1666.2860154472291
182,1655.0296891797332
183,1643.698903640732
184,1635.4580423645675
185,1626.312891582027
186,1614.8649552632123
187,1604.6444778647272
188,1595.4493523631245
189,1587.3443174138663
190,1575.5006243884563
191,1565.3309628106651
192,1557.3285730350763
193,1548.570109942928
194,1537.4502769261599
195,1528.4007563665507
196,1520.056224349886
197,1511.0414136648178
198,1500.9077854212371
199,1491.7561499420551
200,1486.47241172567
201,1475.8667964674532
202,1467.3722084835172
203,1459.1838836614043
204,1450.9489699862895
205,1441.9810794666407
206,1434.5197176896036
207,1427.79763533175
208,1418.0901900939643
209,1411.3573863897473
210,1403.9140366502106
211,1395.6146513745189
212,1387.4855813123283
213,1380.093942230567
214,1371.1870374642313
215,1364.0440204106271
216,1357.1749675646424
217,1350.928127169609
218,1344.65432908386
219,1335.626628436148
220,1327.3374211098999
221,1322.6898086927831
222,1315.949908029288
223,1308.8885201644152
224,1303.3824671693146
225,1295.9448314700276
226,1289.089300125837
227,1282.5579568222165
228,1277.565884789452
229,1271.1149973180145
230,1263.7403920292854
231,1258.6222434192896
232,1253.19330563955
233,1246.481656877324
234,1241.148407554254
235,1237.176957245916
236,1230.642760951072
237,1225.2300873231143
238,1220.0744364205748
239,1213.0173929296432
240,1208.5259569082407
241,1201.5186813808975
242,1196.4658882506192
243,1189.8443518579006
244,1182.4723695218563
245,1178.23640897125
246,1173.569864463061
247,1168.3383075743911
248,1163.16467612423
249,1158.1054964084178
250,1153.1467021293938
251,1147.9287605583668
252,1142.5668027903885
253,1138.4081147294492
254,1131.899831784889
255,1126.3400639891624
256,1122.699896942824
257,1116.5973391178995
258,1110.9687356632203
259,1106.8861812353134
260,1103.942523241043
261,1098.9679368343204
262,1093.8236905187368
263,1089.5082315690815
264,1085.0808774083853
265,1080.1411927808076
266,1075.8294149599967
267,1071.4327714443207
268,1067.9353467803448
269,1062.9696093034
270,1057.6833241209388
271,1053.6598057597876
272,1049.7156843729315
273,1045.968004450202
274,1040.9448770973831
275,1037.5276149976999
276,1033.110499607399
277,1028.5938371494412
278,1024.3310192376375
279,1021.4260281231254
280,1017.2343230061232
281,1012.8216491043568
282,1010.1316775027663
283,1006.3909022640436
284,1001.230367032811
285,998.4255876876413
286,994.5863747373224
287,989.8542520254849
288,987.1517332084478
289,983.5765284132211
290,979.515356408432
291,977.0271229390056
292,973.0899907350541
293,968.4479380510749
294,966.3560945801438
295,963.133427327499
296,958.9122003745288
297,955.8329152558
298,952.0879877377299
299,948.7071096636355
300,945.6257277298719
301,941.6500555034727
302,938.8199931308627
303,935.3748173639177
304,932.0420018341392
305,929.1776545923203
306,926.0620734225959
307,922.6133760809897
308,919.3368491511793
309,916.1539998203517
310,912.5907719060777
311,909.244829200208
312,906.8055041246115
313,903.0036821980029
314,899.068866642192
315,896.7506937235594
316,893.0278844367712
317,890.3452878911048
318,887.7170890811831
319,885.1063059102743
320,881.9372835438697
321,878.884986685589
322,876.206557476893
323,873.3920860867947
324,870.4518198221923
325,867.8607788421212
326,864.2066599521787
327,861.0060114227235
328,858.3919152896851
329,855.3769119754434
330,852.5911856815219
331,849.6323050167412
332,846.9604798089712
333,844.5710487253965
334,841.3135597798973
335,838.0477453842758
336,836.3524835836142
337,833.7066155523061
338,830.9804036393762
339,828.6044130865484
340,826.0399856716393
341,823.8440238591284
342,821.1524088289588
343,818.7490972913802
344,816.538632865995
345,813.8228219747542
346,810.8821696210653
347,808.9714347627014
348,806.3801829647274
349,804.5748449433595
350,801.667020400986
351,798.8095180746167
352,796.6790470629929
353,794.9548091273754
354,792.386468823999
355,789.9719444345683
356,787.4225311744958
357,785.2029914092273
358,783.0237078312784
359,780.4048198070377
360,778.3916975799949
361,775.7849946171045
362,773.5025811977683
363,771.3881782907991
364,769.6474023982881
365,767.2112241461873
366,764.5448662899433
367,763.1878236532211
368,761.2505912650377
369,758.6870647184551
370,756.6406728830189
371,754.5955136846752
372,751.7367202527821
373,750.0893379766494
374,748.0371158290654
375,745.7304942980408
376,744.0149410143495
377,741.7879182379693
378,739.7950077261775
379,737.3450737446545
380,735.2442092634737
381,733.884042609483
382,731.4637398459017
383,729.4445784427226
384,727.6800102796404
385,725.5360396467149
386,723.3703749533743
387,721.5175337158142
388,719.51798889786
389,717.2521645296365
390,714.7644189633429
391,713.3172697834672
392,711.5051466803998
393,709.2577126696706
394,707.6829123683274
395,705.6983825024217
396,703.6784455552697
397,701.785033352673
398,700.557561499998
399,698.4470262341201
400,696.3970572110265
401,694.8889246378094
402,693.3087965827435
403,691.1084921378641
404,689.2212154772133
405,687.4349917005748
406,685.468301396817
407,683.9420075472444
408,681.8057300113142
409,679.92419764027
410,678.0232308134437
411,676.350183416158
412,674.6219164337963
413,673.081953747198
414,671.2081693038344
415,669.4037707764655
416,667.2697785906494
417,665.4574572630227
418,664.0744837485254
419,661.5539853386581
420,659.8879938274622
421,658.5065650921315
422,657.1239320840688
423,656.171943012625
424,654.3099435120821
425,652.9984463397412
426,651.2763991784304
427,649.6032066252083
428,647.9716801289469
429,646.2544824555516
430,644.4928924515843
431,642.9036732576787
432,641.460864931345
433,640.0945016872138
434,638.7024819888176
435,637.2140219137073
436,635.5122877489777
437,633.8789622318
438,632.631887357682
439,631.0996280219406
440,629.9764650668949
441,628.0306363813579
442,626.5190858580172
443,625.057773379609
444,623.324155619368
445,621.7952278796585
446,620.3992659579961
447,619.1506604626775
448,617.4876632988453
449,615.7622707951814
450,614.4799427408725
451,613.2164251487702
452,611.4936323408036
453,610.0879658330232
454,608.9727505985647
455,607.62464363873
456,606.3189342431724
457,604.9337223954499
458,603.6628548111768
459,602.2710468061268
460,601.1011466961354
461,600.0338426809758
462,598.849357297644
463,597.3122684117408
464,595.7258550971745
465,594.6924177091569
466,593.2641840595752
467,592.1385817863047
468,590.9204595908523
469,589.6209807228297
470,588.2346793599427
471,587.085670473054
472,585.7261395044625
473,584.4751377720386
474,583.6073048971592
475,582.1096102669835
476,580.7938692923635
477,579.5633683800697
478,578.5838959105313
479,577.2772475816308
480,576.1755746640265
481,574.8396121207625
482,573.7534106969832
483,572.6105612944812
484,571.7996674738824
