x,y
203,1890.026732277125
204,1869.7207258027047
205,1849.6248959973452
206,1829.7096355054528
207,1810.2144913207735
208,1791.3700158204883
209,1772.595887305215
210,1753.1609873883426
211,1734.356984436512
212,1716.6256148386747
213,1698.9326391499487
214,1681.122790124267
215,1664.0758682247251
216,1646.595184130594
217,1629.7082072552291
218,1612.2273976467548
219,1595.6908157672733
220,1579.352864652872
221,1562.4894932862371
222,1545.7577675059435
223,1530.4672378804535
224,1515.377477498725
225,1499.5900412537155
226,1483.9134692605585
227,1469.3735336530951
228,1455.1088198386133
229,1440.5011685807256
230,1426.164225589484
231,1411.5076640248299
232,1397.709574278444
233,1384.5967094935477
234,1370.9813225995747
235,1357.645767915994
236,1344.1155262943355
237,1331.090031871572
238,1318.4525943398476
239,1306.8258922528476
240,1294.9400580134243
241,1283.0200136434287
242,1270.0351170524955
243,1257.8698093872515
244,1246.638580404222
245,1235.721993593499
246,1223.6207596473396
247,1212.4609527252614
248,1202.010485433042
249,1191.3077483903617
250,1179.978960910812
251,1169.0462820008397
252,1159.286691751331
253,1149.2009740136564
254,1138.3130518440155
255,1128.317872064188
256,1118.2347431052476
257,1108.7904556393623
258,1099.453187787905
259,1090.4223384205252
260,1081.4704998042434
261,1071.8741141725332
262,1062.4436724223197
263,1053.511265406385
264,1045.183330124244
265,1036.2757521327585
266,1027.3556869365275
267,1019.0504062939436
268,1010.8630378618836
269,1002.5419411007314
270,994.6983708944173
271,986.7668869886547
272,979.2608519252387
273,971.6727388389407
274,964.3442442249506
275,956.7149296775459
276,948.8227760959415
277,941.19196164608
278,933.5850026216357
279,926.6105329152196
280,920.1129291765392
281,913.4167684782296
282,906.2234603241086
283,899.4492466710509
284,892.3095144648106
285,885.520549448207
286,878.2193290311843
287,871.4063842892647
288,864.6886980701238
289,858.3824596274643
290,851.9984503369777
291,845.3190627247094
292,839.0082383155823
293,833.4096615929155
294,827.5529587902128
295,821.2842481955885
296,815.4670083429664
297,809.9956311006099
298,804.88432575576
299,799.0463175904005
300,793.3809653241187
301,787.6556547600776
302,782.4366447292268
303,777.3566859588027
304,772.0562474988402
305,766.6208417788149
306,761.0512897837907
307,755.3567848503588
308,750.3630324918776
309,745.1985427588224
310,739.9226095341147
311,735.0765393506734
312,730.3632888328285
313,725.740514377132
314,721.0059129130094
315,715.7289359122515
316,710.2989688515663
317,705.720745773986
318,701.391713572666
319,697.1416190974414
320,692.7256094478071
321,687.8564379550517
322,683.2503277491778
323,679.1355757247657
324,674.9189268313348
325,670.2729708477855
326,665.9027151577175
327,661.7574614714831
328,657.4653666354716
329,653.2416926044971
330,649.1917367670685
331,645.3670994527638
332,641.3624943271279
333,636.9182573147118
334,632.9358053132892
335,628.9169261790812
336,624.7860251292585
337,621.0212593171746
338,617.5998764242977
339,614.2547619268298
340,610.2660959288478
341,606.2555633038281
342,602.6650166045873
343,599.0787509307265
344,595.3372849505395
345,591.5751227829605
346,588.2228421717882
347,584.9581519011408
348,581.7627632580698
349,577.8871258981526
350,574.0020894706249
351,570.5923134312034
352,567.4837230667472
353,564.4523320216686
354,561.2743914574385
355,557.686947055161
356,554.2161178682
357,550.9747478216888
358,547.6914819628
359,544.5593623891473
360,541.4321444295347
361,538.1596864014864
362,534.8245306871833
363,531.9524384047836
364,529.2913323212415
365,526.5825148522854
366,523.6519445739686
367,520.4938055798411
368,517.6633352059871
369,514.7408094480634
370,512.0302238091825
371,509.1132960002869
372,506.1205175258219
373,503.3520505279303
374,500.89191739074886
375,498.37021198682487
376,495.4042299129069
377,492.6875420957804
378,489.94588399305934
379,487.37165757827455
380,484.66363613493746
381,482.2493876386434
382,480.00169718079275
383,477.86748025938874
384,475.62243869155645
385,473.2048573140055
386,471.15812703780824
387,469.1437954325229
388,466.8936377763748
389,464.49312316253776
390,462.3393982462585
391,459.9777743238956
392,457.74941087141633
393,455.5493428539485
394,453.53565508127207
395,451.42292112112045
396,449.0607853215188
397,446.8978025242686
398,445.0378185231239
399,443.1925582159311
400,441.25062271207565
401,439.29211614094675
402,437.28844565339386
403,435.22392382472754
404,433.1050169877708
405,430.939525924623
406,428.86803235299885
407,427.1850730907172
408,425.52915669977665
409,423.5219473708421
410,421.5371853131801
411,419.8566366005689
412,418.0059955120087
413,416.0203763395548
414,414.0492243543267
415,412.30642222985625
416,410.48824304342264
417,408.7359321136028
418,406.98930871859193
419,405.1598847974092
420,403.37822045572096
421,401.83578801900154
422,400.2063753642142
423,398.4842144474387
424,396.5760211795568
425,394.78336548432713
426,393.1706767491996
427,391.7874974925071
428,390.12609470076853
429,388.4744568392634
430,386.9818132612854
431,385.3326387871057
432,383.8048985358328
433,382.0712130554021
434,380.1682250984013
435,378.5761806406081
436,377.02675058133906
437,375.6569248642773
438,374.2038164064288
439,372.51618431508547
440,370.7993984539062
441,369.40509203448886
442,367.9540743045509
443,366.1977319307625
444,364.6244387868792
445,363.31172021105886
446,361.8294309489429
447,360.2026287019253
448,358.72690173052246
449,357.5241302307695
450,356.3165860436857
451,354.8714974503964
452,353.6892524268478
453,352.335427030921
454,350.9568568300456
455,349.4415704961866
456,348.0711939483881
457,346.67246759682894
458,345.42022130452096
459,344.1449862774461
460,342.69300394319
461,341.2808327395469
462,340.03934741951525
463,338.78981105051935
464,337.410444913432
465,336.0885995514691
466,334.87374393269414
467,333.60957878641784
468,332.34726790711284
469,331.16726503521204
470,329.8600013256073
471,328.5238742865622
472,327.1408218163997
473,325.9842830449343
474,324.74792091175914
475,323.5825815554708
476,322.316606219858
477,321.16149342246354
478,319.87169793993235
479,318.7966026626528
480,317.6583105362952
481,316.35025350749487
482,315.174274193123
483,314.165790989995
484,313.0655556265265
485,311.8135540410876
486,310.707124395296
487,309.73803720623255
488,308.69149970635766
489,307.62097534723574
490,306.4768324997276
491,305.3321003820747
492,304.28313302621245
493,303.18668464943767
494,302.12030923739076
495,300.9855874590576
496,300.10034571029246
497,299.1904194932431
498,298.0551396068185
499,296.98052873648703
500,295.81583667360246
501,294.6572427060455
502,293.63434282690287
503,292.5811980571598
504,291.45198751986027
505,290.2978785559535
506,289.31548046693206
507,288.4555350597948
508,287.3876847960055
509,286.343335725367
510,285.38163283094764
511,284.4211011826992
512,283.4458279963583
513,282.58500890061254
514,281.66746413335204
515,280.6836232952773
516,279.70420539565384
517,278.85603025928134
518,277.97507703490555
519,276.95142914541066
520,276.0375417917967
521,275.2670648749918
522,274.464571416378
523,273.4543553497642
524,272.51660770736635
525,271.7277446705848
526,270.9464859329164
527,270.04810719937086
528,269.1098218858242
529,268.12910831160843
530,267.3116780053824
531,266.5225808545947
532,265.69929463788867
533,264.8989757616073
534,263.978185351938
535,263.0388986431062
536,262.22914890758693
537,261.40794472023845
538,260.4691085591912
539,259.5393983386457
540,258.7415189612657
541,258.009863499552
542,257.13889445364475
543,256.36449799500406
544,255.554986320436
545,254.71997410990295
546,253.79941033013165
547,252.95722549781203
548,252.12300011515617
549,251.37797118909657
550,250.5619923248887
551,249.80093827471137
552,249.1293054316193
553,248.28657245077193
554,247.44008345343167
555,246.69865207001567
556,246.0462471526116
557,245.35222795046863
558,244.6339702606201
559,243.76461474224925
560,243.0084820277989
561,242.2910216283053
562,241.57140034437177
563,240.7119674421847
564,239.98655993677676
565,239.2094092965126
566,238.4554120209068
567,237.69084384664893
568,237.00996221229437
569,236.35815936513245
570,235.54809021390972
571,234.72669162787497
572,234.07660016790032
573,233.43290592916307
574,232.711775964126
575,232.0086533557624
576,231.244832970202
577,230.61929401196537
578,229.9165706988424
579,229.21763826720417
580,228.58418084494767
581,228.01891677640376
582,227.44500331766903
583,226.81680177710953
584,226.18883834779265
585,225.4361922796816
586,224.6979325413704
587,224.00876377522945
588,223.37200754880905
589,222.67436218634248
590,221.96149183623487
591,221.35165156424043
592,220.7389024719596
593,220.02725054323676
594,219.38596372306344
595,218.88090869970617
596,218.30232722125947
597,217.67024724371728
598,217.09786211885512
599,216.47986998036504
600,215.85797831416127
601,215.17391615733504
602,214.6056138370186
603,214.077739816159
604,213.45355783216652
605,212.83298684284088
606,212.2472896035761
607,211.65360608138144
608,210.99865351058543
609,210.50672003254292
610,210.0452802106738
611,209.49801229313013
612,208.9659776072949
613,208.33115474507207
614,207.69494587555528
615,207.1514583490789
616,206.57154130376875
617,205.98591358214617
618,205.40493180416524
619,204.9072401504964
620,204.427647953853
621,203.94370389170945
622,203.3017992954701
623,202.6180120781064
624,202.06851875782007
625,201.62224411405623
626,201.17128417082128
627,200.65293343551457
628,200.02231867611408
629,199.45269267447287
630,198.9766147714108
631,198.4729847870767
632,197.9872055333108
633,197.55803633295
634,197.03757379949087
635,196.50040615536273
636,196.03862189501524
637,195.61350803449747
638,195.1200604029
639,194.47914144024247
640,193.85967849567527
641,193.38567626476288
642,192.92456573247907
643,192.4910841267556
644,191.9986019730568
645,191.55702638812363
646,191.11895849369463
647,190.60928539559245
648,190.1059173196554
649,189.57675424590704
650,189.1276754308492
651,188.66656874492764
652,188.18224788643417
653,187.72193650528789
654,187.29696116410196
655,186.8308315668255
656,186.256311705336
657,185.7528518810868
658,185.2908085435629
659,184.82359981723127
660,184.26055040583012
661,183.7648912873119
662,183.38301070220768
663,182.9745820146054
664,182.54154002293944
665,181.99340885691345
666,181.4489824231714
667,180.99466543272135
668,180.56593485176563
669,180.18848568387327
670,179.82457729801536
671,179.3187518734485
672,178.86054565012455
673,178.47671785764396
674,178.12581571936607
675,177.6456114668399
676,177.22678520716727
677,176.93184501305223
678,176.55732873640954
679,176.07704897224903
680,175.62666343338788
681,175.18416131660342
682,174.82482429780066
683,174.3734540026635
684,173.9469054080546
685,173.57328261062503
686,173.11292885802686
687,172.71163385361433
688,172.35643118433654
689,171.91224238835275
690,171.34545515477657
691,170.88025433942676
692,170.52079571038485
693,170.13958788104355
694,169.67027188278735
695,169.24721032381055
696,168.9202927891165
697,168.60180603340268
698,168.21253490820527
699,167.83287898451087
700,167.43646620959044
701,167.05709220468995
702,166.65859660319984
703,166.3015245888382
704,165.97487538494167
705,165.62820396572351
706,165.307278893888
707,164.88785797171295
708,164.5466703493148
709,164.2037155982107
710,163.83563669770956
711,163.4160179514438
712,163.0256793126464
713,162.66560771502554
714,162.3211195152253
715,161.95512717962265
716,161.6637340299785
717,161.31720724515617
718,160.96976314485073
719,160.5476129874587
720,160.18898425996304
721,159.8482716847211
722,159.46072955057025
723,159.06328880786896
724,158.72031027451155
725,158.3603591248393
726,157.9704020228237
727,157.5896492935717
728,157.3087920472026
729,156.9890616107732
730,156.6098174173385
731,156.24026737362146
